3,90,26
4,9,50
5,54,6
5,65,22
8,74,1
8,66,23
9,50,31
9,106,15
10,15,8
11,82,8
12,117,15
12,55,13
12,3,35
13,21,29
13,103,4
14,63,47
15,73,2
17,25,38
17,102,37
18,108,33
19,39,12
20,86,32
20,69,31
22,41,25
23,0,10
25,3,22
25,53,24
28,51,26
29,39,9
32,119,43
33,101,39
35,101,37
36,102,43
36,64,39
37,87,27
38,3,35
38,97,40
39,71,43
41,44,29
41,78,37
41,87,41
43,9,44
44,23,42
44,4,12
45,44,37
46,121,49
47,52,30
48,14,16
48,113,22
48,32,2
49,10,31
51,12,17
53,78,2
54,124,33
54,17,40
55,11,43
55,120,8
56,112,20
61,65,6
62,67,7
62,115,26
62,41,18
63,57,4
63,69,7
63,38,2
63,66,25
64,121,49
65,96,4
67,68,44
67,85,43
69,116,35
69,111,17
69,64,16
69,2,1
69,53,26
70,61,31
70,54,10
75,118,35
76,70,7
76,121,21
77,76,17
78,121,38
78,91,47
78,70,27
80,102,33
81,44,35
81,80,19
82,61,42
82,95,25
82,71,9
84,46,29
84,124,32
85,30,44
85,9,42
85,1,26
87,9,16
87,83,49
87,58,2
88,38,23
90,18,48
94,106,34
96,19,36
98,6,39
101,28,47
101,108,4
101,30,17
103,74,20
104,46,13
104,1,47
107,85,20
108,54,13
109,50,14
110,114,22
111,110,8
111,123,12
111,82,27
112,8,5
112,94,6
116,59,1
117,46,6
118,100,29
118,11,49
120,12,45
122,38,30
