0,1,31
0,8,2
0,11,49
0,21,46
0,19,9
0,24,15
1,2,23
1,19,1
1,18,32
1,22,49
1,16,39
1,4,28
1,14,11
2,10,11
2,17,9
2,5,16
2,23,43
2,8,40
2,22,7
2,20,1
2,16,24
3,24,43
3,4,23
3,0,28
3,6,19
3,17,34
3,7,46
3,8,40
4,18,26
4,10,7
4,13,50
4,16,45
4,22,45
4,20,20
4,17,29
5,22,2
5,11,48
5,18,25
5,8,2
5,13,25
5,7,17
5,6,29
5,9,27
5,15,38
6,8,23
6,11,13
6,4,18
6,0,20
6,24,21
6,10,12
7,8,48
7,11,14
7,19,46
7,0,47
7,13,21
7,17,28
7,10,49
8,24,49
8,18,45
8,19,43
8,1,36
8,20,46
9,8,20
9,0,42
9,4,6
9,16,43
9,24,11
10,15,15
10,5,44
10,8,7
10,1,40
10,21,1
11,16,38
11,3,37
11,20,46
11,21,32
11,1,41
11,22,35
11,4,47
11,24,31
12,0,36
12,19,12
12,17,29
12,20,48
12,22,27
12,3,47
12,1,21
12,23,43
13,11,1
13,2,10
13,16,2
13,6,24
13,15,23
14,0,2
14,12,21
14,16,34
14,9,28
14,21,1
15,9,7
15,19,47
15,8,30
15,6,45
15,11,14
15,18,19
16,24,6
16,22,23
16,21,26
16,3,41
16,7,46
16,5,19
16,10,36
17,6,26
17,1,12
17,5,21
17,14,47
17,9,11
17,24,35
18,22,24
18,16,19
18,3,24
18,19,26
18,17,9
18,10,44
18,14,19
18,23,44
19,9,41
19,11,11
19,20,18
19,10,9
19,24,28
20,5,17
20,17,4
20,0,17
20,9,22
20,16,39
21,17,33
21,3,24
21,2,31
21,12,4
21,1,15
21,5,15
21,19,1
22,24,31
22,14,5
22,3,1
23,20,36
23,13,33
23,9,40
23,4,31
23,5,43
23,11,5
23,3,7
23,22,15
23,17,47
23,16,26
24,15,8
24,2,41
24,10,18
24,20,34
24,12,23
24,21,21
24,5,14
